threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
breakpoint_72,0.4420767626535574,73,0.7604166666666666,18,0.75,59,144,0.4097222222222222,13,0.5416666666666666,0,0.0,18,0.75,5,0.20833333333333334
interval_72_73,0.4430733841705498,73,0.7604166666666666,18,0.75,59,144,0.4097222222222222,13,0.5416666666666666,0,0.0,18,0.75,5,0.20833333333333334
breakpoint_73,0.44407000568754224,74,0.7708333333333334,18,0.75,58,144,0.4027777777777778,14,0.5833333333333334,0,0.0,18,0.75,4,0.16666666666666666
interval_73_74,0.47938385568432795,74,0.7708333333333334,18,0.75,58,144,0.4027777777777778,14,0.5833333333333334,0,0.0,18,0.75,4,0.16666666666666666
breakpoint_74,0.5146977056811137,75,0.78125,18,0.75,57,144,0.3958333333333333,15,0.625,0,0.0,18,0.75,3,0.125
interval_74_75,0.5407690684931863,75,0.78125,18,0.75,57,144,0.3958333333333333,15,0.625,0,0.0,18,0.75,3,0.125
breakpoint_75,0.5668404313052589,76,0.7916666666666666,18,0.75,56,144,0.3888888888888889,16,0.6666666666666666,0,0.0,18,0.75,2,0.08333333333333333
interval_75_76,0.5670363264926901,76,0.7916666666666666,18,0.75,56,144,0.3888888888888889,16,0.6666666666666666,0,0.0,18,0.75,2,0.08333333333333333
breakpoint_76,0.5672322216801212,77,0.8020833333333334,18,0.75,55,144,0.3819444444444444,17,0.7083333333333334,0,0.0,18,0.75,1,0.041666666666666664
interval_76_77,0.5729321864728149,77,0.8020833333333334,18,0.75,55,144,0.3819444444444444,17,0.7083333333333334,0,0.0,18,0.75,1,0.041666666666666664
breakpoint_77,0.5786321512655085,78,0.8125,18,0.75,54,144,0.375,18,0.75,0,0.0,18,0.75,0,0.0
interval_77_78,0.7584250991308495,78,0.8125,18,0.75,54,144,0.375,18,0.75,0,0.0,18,0.75,0,0.0
breakpoint_78,0.9382180469961906,79,0.8229166666666666,17,0.7083333333333334,51,144,0.3541666666666667,17,0.7083333333333334,0,0.0,17,0.7083333333333334,0,0.0
interval_78_79,0.9958987652314983,79,0.8229166666666666,17,0.7083333333333334,51,144,0.3541666666666667,17,0.7083333333333334,0,0.0,17,0.7083333333333334,0,0.0
breakpoint_79,1.0535794834668062,80,0.8333333333333334,16,0.6666666666666666,48,144,0.3333333333333333,16,0.6666666666666666,0,0.0,16,0.6666666666666666,0,0.0
interval_79_80,1.063763950696751,80,0.8333333333333334,16,0.6666666666666666,48,144,0.3333333333333333,16,0.6666666666666666,0,0.0,16,0.6666666666666666,0,0.0
breakpoint_80,1.0739484179266956,81,0.84375,15,0.625,45,144,0.3125,15,0.625,0,0.0,15,0.625,0,0.0
interval_80_81,1.11116587878633,81,0.84375,15,0.625,45,144,0.3125,15,0.625,0,0.0,15,0.625,0,0.0
breakpoint_81,1.1483833396459648,82,0.8541666666666666,14,0.5833333333333334,42,144,0.2916666666666667,14,0.5833333333333334,0,0.0,14,0.5833333333333334,0,0.0
